Garden: Garden Name,Garden Geolocation (Latitude),Garden Geolocation (Longitude),Full Address,County,Neighborhood,Status,Number of Plots (Approximate),Total Square Footage (Approximate),Year Established,Website Page URL,Garden: ID,Micro-Network,Public Private,Zip Code,Category,Garden Type,Current Status,Garden Classification
Garden Court Community Garden,39.7344,-104.897536,"1150 Syracuse St., Denver, CO 80220",Denver,East Colfax,Active,24,3800,2009,https://dug.org/find-gardens/Garden-Court-Community-Garden/,a211N000002Jm8y,6-Yellow: East Central Endive,Private,80220,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Glenbrook Greenhouse Food Forest,39.627346,-105.098925,"4890 S. Field Way, Denver, CO 80123",Denver,,Active,,,2023,,a21Rd000000GQpl,,Public,80123,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Globeville Community Garden,39.788398,-104.986711,"5075 Lincoln, Denver, CO 80216",Denver,Globeville,Active,15,5400,1997,https://dug.org/find-gardens/Globeville-Community-Garden/,a211N000002Jm8z,2-Orange: Midtown Mung Beans,Public,80216,General,Garden,Active - Public  Garden,Public  Garden
Golden Community Garden,39.754254,-105.233187,"1506 8th Street, Golden, CO 80401",Jefferson,,Active,30,10000,2009,https://dug.org/find-gardens/Golden-Community-Garden/,a211N000002Jm90,3-Green: SouthWest Sugar Snap Peas,Public,80401,General,Garden,Active - Public  Garden,Public  Garden
Golden Natural Grocers Community Garden,39.747263,-105.208924,"2401 Ford St, Golden, CO 80401",Jefferson,,Active,10,5000,2014,https://dug.org/find-gardens/Golden-Natural-Grocers-Community-Garden/,a211N000002Jm91,3-Green: SouthWest Sugar Snap Peas,Public,80401,General,Garden,Active - Public  Garden,Public  Garden
Golden Pointe Community Garden,39.732181,-105.196715,"17414 W. 10th Ave., Golden, CO 80401",Jefferson,,Active,12,2000,2011,https://dug.org/find-gardens/Golden-Pointe-Community-Garden/,a211N000002Jm92,3-Green: SouthWest Sugar Snap Peas,Private,80401,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Goldrick Elementary Community Garden,39.697577,-105.015513,"1050 S Zuni Street, Denver, CO 80223",Denver,Athmar Park,Active,18,3100,2014,https://dug.org/find-gardens/Goldrick-Elementary-Community-Garden/,a211N000002Jm93,5-Coral: Southern Spicy Peppers,Public,80223,School,Garden,Active - Public School  Garden,Public School  Garden
Golfer's Way Community Garden,39.723906,-104.881414,"448  N. Golfers Way, Denver, CO 80230",Denver,Lowry Field,Active,8,1500,2005,https://dug.org/find-gardens/Golfer's-Way-Community-Garden/,a211N000002Jm94,6-Yellow: East Central Endive,Private,80230,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Gove Community Garden,39.737373,-104.940951,"1325 Colorado Blvd., Denver, CO 80206",Denver,Congress Park,Active,51,6800,1995,https://dug.org/find-gardens/Gove-Community-Garden/,a211N000002Jm95,4-Purple: Central Cucumbers,Public,80206,General,Garden,Active - Public  Garden,Public  Garden
Gray Street Community Garden,39.721888,-105.062036,"345 Gray Street, Lakewood, CO 80226",Jefferson,,Active,17,5000,1998,https://dug.org/find-gardens/Gray-Street-Community-Garden/,a211N000002Jm96,5-Coral: Southern Spicy Peppers,Public,80226,General,Garden,Active - Public  Garden,Public  Garden
Greenlee School Community Garden,39.733874,-105.000898,"1150 Lipan St., Denver, CO 80204",Denver,Lincoln Park,Active,7,1300,2008,https://dug.org/find-gardens/Greenlee-School-Community-Garden/,a211N000002Jm98,4-Purple: Central Cucumbers,Public,80204,School,Garden,Active - Public School  Garden,Public School  Garden
Greenway Community Garden,39.750788,-104.89702,"7790 E. 23rd Ave., Denver, CO 80238",Denver,Central Park,Active,35,10000,2008,https://dug.org/find-gardens/Greenway-Community-Garden/,a211N000002JmAP,6-Yellow: East Central Endive,Public,80238,General,Garden,Active - Public  Garden,Public  Garden
GW School Community Garden,39.704798,-104.914892,"655 S Monaco Pkwy, Denver, CO 80224",Denver,Washington Virginia Vale,Active,13,5000,2016,https://dug.org/find-gardens/GW-School-Community-Garden/,a211N000002Jm9A,6-Yellow: East Central Endive,Public,80224,School,Garden,Active - Public School  Garden,Public School  Garden
Halcyon House Community Garden,39.751593,-104.991595,"1955 Arapahoe St., Denver, CO 80202",Denver,Union Station,Active,9,5000,2007,https://dug.org/find-gardens/Halcyon-House-Community-Garden/,a211N000002Jm9D,2-Orange: Midtown Mung Beans,Private,80202,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Healthy Roots Community Garden (Children's Hospital at Anschutz),39.74177,-104.833564,"13123 E 16th Ave, Aurora, CO 80045",Adams,,Active,23,5000,2018,https://dug.org/find-gardens/Healthy-Roots-Community-Garden-(Children's-Hospital-at-Anschutz)/,a211N000002duRO,7-Blue: Eastern Eggplants,Private,80045,,Garden,Active - Private  Garden,Private  Garden
Heather Regan Memorial Community Garden at Bradley Elementary School,39.663349,-104.930949,"3051 South Elm Street, Denver, CO 80222",Denver,University Hills,Active,27,6700,2009,https://dug.org/find-gardens/Heather-Regan-Memorial-Community-Garden-at-Bradley-Elementary-School/,a211N000002JpVJ,5-Coral: Southern Spicy Peppers,Public,80222,School,Garden,Active - Public School  Garden,Public School  Garden
Highland Gardens Village Community Garden,39.767092,-105.04644,"W 36th Ave between Utica & Vrain, Denver, CO 80212",Denver,West Highland,Active,31,5000,2005,https://dug.org/find-gardens/Highland-Gardens-Village-Community-Garden/,a211N000002Jm9G,2-Orange: Midtown Mung Beans,Public,80212,General,Garden,Active - Public  Garden,Public  Garden
Hinkley High School Community Garden,39.732042,-104.808954,"1250 Chambers Rd, Aurora, CO 80011",Arapahoe,,Active,38,15300,2014,https://dug.org/find-gardens/Hinkley-High-School-Community-Garden/,a211N000002Jm9H,7-Blue: Eastern Eggplants,Public,80011,School,Garden,Active - Public School  Garden,Public School  Garden
Honor Community Garden at Valdez School,39.759548,-105.019064,"2525 W. 29th Ave., Denver, CO 80211",Denver,Highland,Active,10,7500,1996,https://dug.org/find-gardens/Honor-Community-Garden/,a211N000002Jm9J,2-Orange: Midtown Mung Beans,Public,80211,School,Garden,Active - Public School  Garden,Public School  Garden
Horse Barn Demonstration Community Garden,39.763835,-104.975544,"1118 33rd Street, Denver, CO 80205",Denver,Five Points,Active,23,7500,2015,https://dug.org/find-gardens/Horse-Barn-Demonstration-Community-Garden/,a211N000002Jm9K,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
Humboldt Community Garden at Metro Caring,39.744177,-104.97026,"1729 Humboldt St., Denver, CO 80218",Denver,City Park West,Active,33,2500,2017,https://dug.org/find-gardens/Humboldt-Community-Garden-at-Metro-Caring/,a213l000003KKts,2-Orange: Midtown Mung Beans,Public,80218,General,Garden,Active - Public  Garden,Public  Garden
Independence Community Garden,39.436309,-104.644635,"1001 Hilltop Road, Elizabeth, CO 80107",Douglas,,Active,27,7800,2022,https://dug.org/find-gardens/Independence-Community-Garden/,a213l000003h2eo,5-Coral: Southern Spicy Peppers,Private,80107,General Housing,Garden,Active - Private  Garden,Private  Garden
Indy Street Flats Community Garden,39.739196,-105.104288,"1440 Independence Street, Lakewood, CO 80215",Jefferson,,Active,28,7500,2020,https://dug.org/find-gardens/Indy-Street-Flats-Community-Garden/,a213l000003KK5G,3-Green: SouthWest Sugar Snap Peas,Private,80215,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Intervention Community Corrections Services (ICCS),39.742927,-105.067178,"1651 Kendall St, Lakewood, CO 80214",Jefferson,,Active,9,2000,,https://dug.org/find-gardens/Intervention-Community-Corrections-Services-(ICCS)/,a211N000002Jm9L,3-Green: SouthWest Sugar Snap Peas,Private,80214,,Garden,Active - Private  Garden,Private  Garden
Jan Marie Belle All Nations Community Garden,39.698736,-105.034683,"999 S. Lowell Blvd., Denver, CO 80219",Denver,Westwood,Active,21,9600,1999,https://dug.org/find-gardens/Jan-Marie-Belle-All-Nations-Community-Garden/,a211N000002JmAV,5-Coral: Southern Spicy Peppers,Public,80219,General,Garden,Active - Public  Garden,Public  Garden
Jardin de Esperanza Maxwell School Community Garden,39.783099,-104.823194,"14390  Bolling Dr., Denver, CO 80239",Denver,Montbello,Active,24,6900,2012,https://dug.org/find-gardens/Jardin-de-Esperanza-Maxwell-School-Community-Garden/,a211N000002Jm9M,1-Maroon: Northside Nasturtiums,Public,80239,School,Garden,Active - Public School  Garden,Public School  Garden
Jefferson Green Community Garden,39.657213,-105.098519,"9000 W Floyd Ave, Lakewood, CO 80227",Jefferson,,Active,28,10000,2019,https://dug.org/find-gardens/Jefferson-Green-Community-Garden/,a211N000003JgTP,5-Coral: Southern Spicy Peppers,Public,80227,General,Garden,Active - Public  Garden,Public  Garden
Jefferson Park School Community Garden,39.755889,-105.020736,"2650 Eliot St., Denver, CO 80211",Denver,Jefferson Park,Active,14,1800,2010,https://dug.org/find-gardens/Jefferson-Park-School-Community-Garden/,a211N000002Jm9O,2-Orange: Midtown Mung Beans,Public,80211,School,Garden,Active - Public School  Garden,Public School  Garden
Johnson School Community Garden,39.682648,-105.029557,"1850 S. Irving St., Denver, CO 80204",Denver,Mar Lee,Active,12,3600,2009,https://dug.org/find-gardens/Johnson-School-Community-Garden/,a211N000002Jm9P,5-Coral: Southern Spicy Peppers,Public,80204,School,Garden,Active - Public School  Garden,Public School  Garden
Juanita Nolasco Community Garden,39.729788,-105.044882,"4550 W 9th Ave, Denver, CO 80204",Denver,,Active,20,2000,2022,https://dug.org/find-gardens/Juanita-Nolasco-Community-Garden/,a213l000003HOjE,4-Purple: Central Cucumbers,Private,80204,,Garden,Active - Private  Garden,Private  Garden
Kavod Senior Life Community Garden,39.716082,-104.948421,"22 S. Adams Street, Denver, CO 80209",Denver,Cherry Creek,Active,5,5000,2013,https://dug.org/find-gardens/Kavod-Senior-Life-Community-Garden/,a211N000002Jm9R,4-Purple: Central Cucumbers,Private,80209,Senior Housing,Garden,Active - Private  Garden,Private  Garden
KCAA Community Garden,39.675684,-105.038794,"2250 S Quitman Way, Denver, CO 80219",Denver,Harvey Park,Active,18,3900,2015,https://dug.org/find-gardens/KCAA-Community-Garden/,a211N000002Jm9S,5-Coral: Southern Spicy Peppers,Public,80219,School,Garden,Active - Public School  Garden,Public School  Garden
Kepner Food Forest,39.69814,-105.028558,"1001 S. Hooker St, Denver, CO 80219",Denver,,Active,,,2023,,a21Rd000000GOO9,,Public,80219,School,Food Forest,Active - Public School  Food Forest,Public School  Food Forest
Lamar Station Community Garden,39.735628,-105.065604,"6150 W. 13th Ave., Lakewood, CO 80214",Jefferson,,Active,9,5000,2016,https://dug.org/find-gardens/Lamar-Station-Community-Garden/,a211N000002Jm9T,3-Green: SouthWest Sugar Snap Peas,Private,80214,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Little Sprouts Community Garden,39.852616,-105.068206,"8448 Otis Drive, Arvada, CO 80003",Jefferson,,Active,51,18400,2013,https://dug.org/find-gardens/Little-Sprouts-Community-Garden/,a211N000002Jm9U,1-Maroon: Northside Nasturtiums,Public,80003,School,Garden,Active - Public School  Garden,Public School  Garden
Living Light of Peace Community Garden,39.804523,-105.114615,"5927 Miller St., Arvada, CO 80004",Jefferson,,Active,48,10000,2004,https://dug.org/find-gardens/Living-Light-of-Peace-Community-Garden/,a211N000002Jm82,1-Maroon: Northside Nasturtiums,Public,80004,General,Garden,Active - Public  Garden,Public  Garden
Living Light of Peace Food Forest,39.804523,-105.114615,"5927 Miller St, Arvada, CO 80004",Jefferson,,Active,,,2022,https://dug.org/find-gardens/Living-Light-of-Peace-Food-Forest/,a213l000003XDiy,,Public,80004,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Lone Tree Community Garden,39.538531,-104.879334,"9375 Heritage Hills Cir, Lone Tree, CO 80214",Douglas,,Active,54,6800,2015,https://dug.org/find-gardens/Lone-Tree-Community-Garden/,a211N000002Jm9W,5-Coral: Southern Spicy Peppers,Public,80214,School,Garden,Active - Public School  Garden,Public School  Garden
Louisville Community Garden,39.984253,-105.136596,"Lincoln Ave and Griffith St, Louisville, CO 80027",Boulder,,Active,24,5000,2016,https://dug.org/find-gardens/Louisville-Community-Garden/,a211N000002Jm9X,1-Maroon: Northside Nasturtiums,Public,80027,General,Garden,Active - Public  Garden,Public  Garden
Lowell Street Community Garden,39.71922,-105.0347,"150 Lowell Blvd, Denver, CO 80219",Denver,Barnum,Active,54,19400,1997,https://dug.org/find-gardens/Lowell-Street-Community-Garden/,a211N000002Jm9Y,5-Coral: Southern Spicy Peppers,Public,80219,General,Garden,Active - Public  Garden,Public  Garden
Lowry Family Community Garden,39.725056,-104.878356,"550 Alton Way, Denver, CO 80230",Denver,Lowry Field,Active,24,8300,2012,https://dug.org/find-gardens/Lowry-Family-Community-Garden/,a211N000002Jm9Z,6-Yellow: East Central Endive,Public,80230,General,Garden,Active - Public  Garden,Public  Garden
Lowry School Community Garden,39.713106,-104.89584,"8001 E. Cedar Ave., Denver, CO 80230",Denver,Lowry Field,Active,6,2200,1996,https://dug.org/find-gardens/Lowry-School-Community-Garden/,a211N000002Jm9a,6-Yellow: East Central Endive,Private,80230,School,Garden,Active - Private School  Garden,Private School  Garden
Maplewood Apartments Community Garden,39.703141,-105.135106,"856 S. Van Gordon Ct., Lakewood, CO 80228",Jefferson,,Active,10,2400,2012,https://dug.org/find-gardens/Maplewood-Apartments-Community-Garden/,a211N000002Jm9c,3-Green: SouthWest Sugar Snap Peas,Private,80228,Senior Housing,Garden,Active - Private  Garden,Private  Garden
Marian Plaza Community Garden,39.745437,-104.971426,"1818 Marion St., Denver, CO 80206",Denver,City Park West,Active,21,4100,2009,https://dug.org/find-gardens/Marian-Plaza-Community-Garden/,a211N000002Jm9d,2-Orange: Midtown Mung Beans,Private,80206,,Garden,Active - Private  Garden,Private  Garden
Market Station Community Garden,39.745437,-104.971426,"1661 Market St, Denver, CO 80202",Denver,,Active,12,1500,2022,https://dug.org/find-gardens/Market-Station-Community-Garden/,a213l000002vzeY,2-Orange: Midtown Mung Beans,Private,80202,General Housing,Garden,Active - Private  Garden,Private  Garden
Martinez Apartments Community Garden,39.729816,-105.044906,"4555 W 8th Ave., Denver, CO 80204",Denver,Villa Park,Active,14,4000,2017,https://dug.org/find-gardens/Martinez-Apartments-Community-Garden/,a211N000002e63T,4-Purple: Central Cucumbers,Private,80204,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Maxwell Food Forest,39.783099,-104.823194,"14390 Bolling Dr, Denver, CO 80239",Denver,,Active,,,2023,,a21Rd000000GQrN,,Public,80239,School,Food Forest,Active - Public School  Food Forest,Public School  Food Forest
McMeen School Community Garden,39.698329,-104.919471,"1000 South Holly Street, Denver, CO 80246",Denver,Washington Virginia Vale,Active,30,13000,2013,https://dug.org/find-gardens/McMeen-School-Community-Garden/,a211N000002Jm9e,6-Yellow: East Central Endive,Public,80246,School,Garden,Active - Public School  Garden,Public School  Garden
"Montbello ""Five Loaves"" Community Garden",39.783684,-104.832506,"4879 Crown Blvd., Denver, CO 80239",Denver,Montbello,Active,18,5000,1999,"https://dug.org/find-gardens/Montbello-""Five-Loaves""-Community-Garden/",a211N000002Jm9g,1-Maroon: Northside Nasturtiums,Public,80239,General,Garden,Active - Public  Garden,Public  Garden
Montview Park Community Garden,39.746671,-104.880365,"9282 E Montview Blvd, Aurora, CO 80010",Adams,,Active,21,3900,2016,https://dug.org/find-gardens/Montview-Park-Community-Garden/,a211N000002Jm9h,7-Blue: Eastern Eggplants,Public,80010,General,Garden,Active - Public  Garden,Public  Garden
Moose Meadows Community Garden,39.647706,-104.911626,"3755 S Magnolia Way, Denver, CO 80237",Denver,Hampden South,Active,12,5000,2013,https://dug.org/find-gardens/Moose-Meadows-Community-Garden/,a211N000002Jm9i,6-Yellow: East Central Endive,Private,80237,School,Garden,Active - Private School  Garden,Private School  Garden
Morey Middle School Community Garden,39.737874,-104.97744,"840 East 14th Ave, Denver, CO 80218",Denver,Capitol Hill,Active,16,4200,2012,https://dug.org/find-gardens/Morey-Middle-School-Community-Garden/,a211N000002Jm9j,4-Purple: Central Cucumbers,Public,80218,School,Garden,Active - Public School  Garden,Public School  Garden
Morey Middle School Food Forest,39.737874,-104.97744,"840 E. 14th Ave, Denver, CO 80218",Denver,,Active,,,2023,,a21Rd000000GQo9,,Public,80218,School,Food Forest,Active - Public School  Food Forest,Public School  Food Forest
Morgridge Academy Community Garden,39.739687,-104.94186,"1400 Jackson Street, Denver, CO 80206",Denver,Congress Park,Active,8,1800,2015,https://dug.org/find-gardens/Morgridge-Academy-Community-Garden/,a211N000002Jm9k,4-Purple: Central Cucumbers,Private,80206,General,Garden,Active - Private  Garden,Private  Garden
Mountain Terrace Community Garden,39.848444,-105.037694,"3650 W. 84th Ave., Westminster, CO 80031",Adams,,Active,18,2500,2011,https://dug.org/find-gardens/Mountain-Terrace-Community-Garden/,a211N000002Jm9m,1-Maroon: Northside Nasturtiums,Private,80031,Low Income Housing,Garden,Active - Private  Garden,Private  Garden
Mountain View International Community Garden,39.677953,-104.862293,"10700 E. Evans Ave., Aurora, CO 80014",Arapahoe,,Under Construction,26,9500,2010,https://dug.org/find-gardens/Mountain-View-International-Community-Garden/,a211N000002Jm9n,7-Blue: Eastern Eggplants,Public,80014,General,Garden,Under Construction - Public  Garden,Public  Garden
Mount St. Vincent Community Garden,39.775376,-105.034958,"4159 Lowell Blvd., Denver, CO 80211",Denver,Berkeley,Active,16,5000,2009,https://dug.org/find-gardens/Mount-St.-Vincent-Community-Garden/,a211N000002Jm9l,2-Orange: Midtown Mung Beans,Public,80211,General,Garden,Active - Public  Garden,Public  Garden
Murphy Creek Community Garden,39.775376,-105.034958,"1611 S Flatrock Trail, Aurora, CO 80018",Arapahoe,,Active,27,8200,2012,https://dug.org/find-gardens/Murphy-Creek-Community-Garden/,a211N000002e62z,7-Blue: Eastern Eggplants,Private,80018,General,Garden,Active - Private  Garden,Private  Garden
New Freedom Community Garden,39.736966,-104.886249,"8806 E 13th Ave, Denver, CO 80220",Denver,East Colfax,Active,51,8206,2006,https://dug.org/find-gardens/New-Freedom-Community-Garden/,a211N000002Jm9q,6-Yellow: East Central Endive,Public,80220,General,Garden,Active - Public  Garden,Public  Garden
Nome Park Community Garden,39.734175,-104.851502,"1200 Nome Street, Aurora, CO 80010",Arapahoe,,Active,34,12500,2018,https://dug.org/find-gardens/Nome-Park-Community-Garden/,a211N000002JmOB,7-Blue: Eastern Eggplants,Public,80010,General,Garden,Active - Public  Garden,Public  Garden
Nome Park Food Forest,39.734175,-104.851502,"1200 Nome St, Aurora, CO 80010",Arapahoe,,Active,,,2022,https://dug.org/find-gardens/Nome-Food-Forest/,a213l000003XDj3,,Public,80010,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
North Arvada Middle School Community Garden,39.829384,-105.073143,"7285 Pierce St, Arvada, CO 80003",Jefferson,,Active,34,9800,2018,https://dug.org/find-gardens/North-Arvada-Middle-School-Community-Garden/,a211N000002JmOC,1-Maroon: Northside Nasturtiums,Public,80003,School,Garden,Active - Public School  Garden,Public School  Garden
North Middle School Community Garden,39.749143,-104.84908,"12095 East Montview Blvd, Aurora, CO 80010",Adams,,Active,32,9600,2013,https://dug.org/find-gardens/North-Middle-School-Community-Garden/,a211N000002Jm9s,7-Blue: Eastern Eggplants,Public,80010,School,Garden,Active - Public School  Garden,Public School  Garden
Owen Boys & Girls Club Garden,39.700158,-105.033694,"3480 W. Kentucky Ave., Denver, CO 80219",Denver,Westwood,Active,6,1400,2011,https://dug.org/find-gardens/Owen-Boys-&-Girls-Club-Garden/,a211N000002Jm9t,5-Coral: Southern Spicy Peppers,Private,80219,Other,Garden,Active - Private  Garden,Private  Garden
Palmer School Community Garden,39.731691,-104.924918,"995 Grape St., Denver, CO 80220",Denver,Hale,Active,20,6100,2001,https://dug.org/find-gardens/Palmer-School-Community-Garden/,a211N000002Jm9u,6-Yellow: East Central Endive,Public,80220,School,Garden,Active - Public School  Garden,Public School  Garden
Parker Apartments Community Garden,39.669868,-105.096601,"8854 W La Salle Ave, Lakewood, CO 80227",Jefferson,,Active,28,15000,2022,,a213l000003HPAT,5-Coral: Southern Spicy Peppers,Private,80227,General,Garden,Active - Private  Garden,Private  Garden
Park Hill School Garden,39.744544,-104.928879,"5050 E. 19th Ave., Denver, CO 80220",Denver,South Park Hill,Active,16,9200,1995,https://dug.org/find-gardens/Park-Hill-School-Garden/,a211N000002Jm9v,6-Yellow: East Central Endive,Public,80220,School,Garden,Active - Public School  Garden,Public School  Garden
Parkview Food Forest,39.721571,-104.841871,"12444 E Parkview Dr, Aurora, CO 80111",Arapahoe,,Active,,,2023,,a21Rd000000GAoD,,Public,80111,General,Food Forest,Active - Public  Food Forest,Public  Food Forest
Parkview United Church Community Garden,39.721571,-104.841871,"12444 E. Parkview Dr., Aurora, CO 80011",Arapahoe,,Active,32,11100,2010,https://dug.org/find-gardens/Parkview-United-Church-Community-Garden/,a211N000002Jm9w,7-Blue: Eastern Eggplants,Public,80011,General,Garden,Active - Public  Garden,Public  Garden
Pecos Community Garden,39.762547,-105.006207,"3230 Pecos St., Denver, CO 80221",Denver,Highland,Active,20,12000,1978,https://dug.org/find-gardens/Pecos-Community-Garden/,a211N000002Jm9y,2-Orange: Midtown Mung Beans,Public,80221,General,Garden,Active - Public  Garden,Public  Garden
Place Bridge Academy Community Garden,39.688711,-104.907535,"7125 Cherry Creek North Dr., Denver, CO 80209",Denver,Washington Virginia Vale,Active,39,11000,2009,https://dug.org/find-gardens/Place-Bridge-Academy-Community-Garden/,a211N000002Jm9z,6-Yellow: East Central Endive,Public,80209,School,Garden,Active - Public School  Garden,Public School  Garden
RAMERC Community Garden,39.756815,-104.942209,"2811 Harrison St., Denver, CO 80205",Denver,Skyland,Active,4,500,2007,https://dug.org/find-gardens/RAMERC-Community-Garden/,a211N000002JmA3,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
Regis University Community Garden,39.792173,-105.034504,"5240 Lowell Blvd., Denver, CO 80221",Adams,Regis,Active,24,15800,2010,https://dug.org/find-gardens/Regis-University-Community-Garden/,a211N000002JmA4,2-Orange: Midtown Mung Beans,Public,80221,General,Garden,Active - Public  Garden,Public  Garden
Rocky Mountain Prep Sunnyside Community Garden,39.781585,-105.006778,"4735 N Pecos St, Denver, CO 80211",Denver,Sunnyside,Active,21,7450,2023,,a213l000003h2oE,,Public,80211,School,Garden,Active - Public School  Garden,Public School  Garden
Rosedale Community Garden,39.67338,-104.983589,"2333 S Logan St, Denver, CO 80210",Denver,Rosedale,Active,90,10000,1976,https://dug.org/find-gardens/Rosedale-Community-Garden/,a211N000002JmA7,5-Coral: Southern Spicy Peppers,Public,80210,General,Garden,Active - Public  Garden,Public  Garden
Rose Roots Community Garden,39.849079,-105.146574,"8412 Alkire St., Arvada, CO 80005",Jefferson,,Active,116,48100,2012,https://dug.org/find-gardens/Rose-Roots-Community-Garden/,a211N000002JmA6,1-Maroon: Northside Nasturtiums,Public,80005,General,Garden,Active - Public  Garden,Public  Garden
Rose Stein Community Garden,39.716056,-105.075146,"80 S Teller Street, Lakewood, CO 80226",Jefferson,,Active,18,5200,2018,https://dug.org/find-gardens/Rose-Stein-Community-Garden/,a211N000002M01F,5-Coral: Southern Spicy Peppers,Public,80226,School,Garden,Active - Public School  Garden,Public School  Garden
Ruby Hill Park Community Garden,39.685358,-105.006015,"1500 S. Osage St., Denver, CO 80223",Denver,Ruby Hill,Active,56,9200,2012,https://dug.org/find-gardens/Ruby-Hill-Park-Community-Garden/,a211N000002JmA8,5-Coral: Southern Spicy Peppers,Public,80223,General,Garden,Active - Public  Garden,Public  Garden
Sabin School Community Garden,39.659741,-105.046265,"3050 S Vrain St, Denver, CO 80236",Denver,Fort Logan,Active,27,7800,2017,https://dug.org/find-gardens/Sabin-School-Community-Garden/,a211N000002JmA9,5-Coral: Southern Spicy Peppers,Public,80236,School,Garden,Active - Public School  Garden,Public School  Garden
Samuels Elementary Food Forest,39.643504,-104.892509,"3985 S Vincennes Ct, Denver, CO 80237",Denver,,Active,,,2022,https://dug.org/find-gardens/Samuels-Elementary-Food-Forest/,a213l000003XDj2,6-Yellow: East Central Endive,Public,80237,School,Food Forest,Active - Public School  Food Forest,Public School  Food Forest
Samuels Elementary School Community Garden,39.643504,-104.892509,"3985 S Vincennes Ct, Denver, CO 80237",Denver,Hampden South,Active,56,12100,2012,https://dug.org/find-gardens/Samuels-Elementary-School-Community-Garden/,a211N000002JmAB,6-Yellow: East Central Endive,Public,80237,School,Garden,Active - Public School  Garden,Public School  Garden
Sanctuary Community Garden,39.743218,-104.873232,"9840 E 17th Ave., Aurora, CO 80010",Adams,,Active,60,12600,2015,https://dug.org/find-gardens/Sanctuary-Community-Garden/,a211N000002JmAD,7-Blue: Eastern Eggplants,Public,80010,General,Garden,Active - Public  Garden,Public  Garden
Sandoval School Community Garden,39.765818,-105.015116,"2321 W 35th Ave, Denver, CO 80211",Denver,Highland,Active,14,3800,2002,https://dug.org/find-gardens/Sandoval-School-Community-Garden/,a211N000002Jm7w,2-Orange: Midtown Mung Beans,Public,80211,School,Garden,Active - Public School  Garden,Public School  Garden
San Rafael Community Garden,39.750406,-104.976131,"2245 Emerson Street, Denver, CO 80205",Denver,Five Points,Active,20,8000,1977,https://dug.org/find-gardens/San-Rafael-Community-Garden/,a211N000002JmAC,2-Orange: Midtown Mung Beans,Public,80205,General,Garden,Active - Public  Garden,Public  Garden
Shelton School Community Garden,39.722471,-105.214049,"420 Crawford St, Golden, CO 80401",Jefferson,,Active,28,7200,2017,https://dug.org/find-gardens/Shelton-School-Community-Garden/,a211N000002JmAE,3-Green: SouthWest Sugar Snap Peas,Public,80401,School,Garden,Active - Public School  Garden,Public School  Garden
Shorter AME Church Community Garden,39.761078,-104.94184,"3100 Richard Allen Ct., Denver, CO 80205",Denver,Skyland,Active,9,1150,2010,https://dug.org/find-gardens/Shorter-AME-Church-Community-Garden/,a211N000002JmAG,2-Orange: Midtown Mung Beans,Private,80205,,Garden,Active - Private  Garden,Private  Garden
Shoshone Community Garden,39.762986,-105.009455,"3250 Shoshone St., Denver, CO 80211",Denver,Highland,Active,12,4900,1984,https://dug.org/find-gardens/Shoshone-Community-Garden/,a211N000002JmAH,2-Orange: Midtown Mung Beans,Public,80211,General,Garden,Active - Public  Garden,Public  Garden
Sister Carmen Garden,40.003069,-105.107294,"655 Aspen Ridge Drive, Lafayette, CO 80026",Boulder,,Active,10,5000,,https://dug.org/find-gardens/Sister-Carmen-Garden/,a211N000002JmOE,1-Maroon: Northside Nasturtiums,Private,80026,Other,Garden,Active - Private  Garden,Private  Garden
Slater Elementary Community Garden,39.752258,-105.092821,"8605 W. 23rd Avenue, Lakewood, CO 80215",Jefferson,,Active,26,8000,2019,https://dug.org/find-gardens/Slater-Elementary-Community-Garden/,a211N000002e68E,3-Green: SouthWest Sugar Snap Peas,Public,80215,School,Garden,Active - Public School  Garden,Public School  Garden
South Lakewood Elementary Community Garden,39.718595,-105.092205,"8425 W 1st Ave, Lakewood, CO 80226",Jefferson,,Active,16,2000,2022,https://dug.org/find-gardens/South-Lakewood-Elementary-Community-Garden/,a213l000003Wdh7,3-Green: SouthWest Sugar Snap Peas,Public,80226,School,Garden,Active - Public School  Garden,Public School  Garden
Spencer Garrett Park Community Garden,39.743481,-104.860749,"17th Avenue & Joliet Street, Aurora, CO 80010",Adams,,Active,36,12400,2011,https://dug.org/find-gardens/Spencer-Garrett-Park-Community-Garden/,a211N000002JmAL,7-Blue: Eastern Eggplants,Public,80010,General,Garden,Active - Public  Garden,Public  Garden
